running_sec,lub_sec,idletravel_m,h1_cuttingtime_sec,h2_cuttingtime_sec,h1_cuttinglength_m,h2_cuttinglength_m,h1_piercings,h2_piercings,file_name
5105370,2449,81069.765625,1762649,0,112332.5,0.0,26753,0,20210625_112321.bin
5105969,3048,81136.9296875,1762976,0,112397.1796875,0.0,27101,0,20210625_113321.bin
5106568,3647,81194.703125,1763235,0,112450.5859375,0.0,27367,0,20210625_114321.bin
5107167,4246,81244.0859375,1763502,0,112503.4296875,0.0,27664,0,20210625_115321.bin
5107766,4845,81313.9375,1763849,0,112568.53125,0.0,28010,0,20210625_120321.bin
5108365,5444,81356.859375,1764055,0,112607.4609375,0.0,28238,0,20210625_121321.bin
5108963,6042,81412.0,1764329,0,112662.4375,0.0,28518,0,20210625_122321.bin
5109562,6641,81481.8984375,1764670,0,112730.6796875,0.0,28859,0,20210625_123321.bin
5110161,7240,81496.3828125,1764757,0,112745.28125,0.0,28956,0,20210625_124321.bin
5110760,7839,81498.640625,1765189,0,112752.4296875,0.0,28975,0,20210625_125321.bin
5111359,8438,81535.625,1765523,0,112790.4375,0.0,29166,0,20210625_130321.bin
5111957,9036,81585.6484375,1765763,0,112838.078125,0.0,29429,0,20210625_131321.bin
5112556,9635,81641.3828125,1766024,0,112886.5234375,0.0,29684,0,20210625_132321.bin
5113155,10234,81694.2890625,1766295,0,112940.171875,0.0,29969,0,20210625_133321.bin
5113754,10833,81756.9609375,1766626,0,113004.8671875,0.0,30322,0,20210625_134321.bin
5114353,11432,81783.1484375,1766738,0,113027.171875,0.0,30433,0,20210625_135321.bin
5114952,12031,81843.5859375,1767049,0,113088.9375,0.0,30773,0,20210625_140321.bin
5115551,12630,81880.0,1767212,0,113119.6328125,0.0,30956,0,20210625_141321.bin
5116149,13228,81934.5078125,1767491,0,113175.8203125,0.0,31238,0,20210625_142321.bin
5116688,13767,81996.8359375,1767784,0,113234.9453125,0.0,31540,0,20210625_143321.bin
5117287,14366,82041.984375,1768011,0,113279.609375,0.0,31783,0,20210625_144321.bin
5117886,14965,82102.171875,1768324,0,113340.2109375,0.0,32117,0,20210625_145321.bin
5118485,15564,82163.203125,1768597,0,113393.8828125,0.0,32391,0,20210625_150321.bin
5119084,16163,82189.9765625,1768798,0,113427.609375,0.0,32645,0,20210625_151321.bin
5119683,16762,82190.6171875,1768799,0,113427.8203125,0.0,32646,0,20210625_152321.bin
5120282,17361,82191.9609375,1768877,0,113437.4765625,0.0,32654,0,20210625_153321.bin
5120881,17960,82191.9609375,1768877,0,113437.4765625,0.0,32654,0,20210625_154321.bin
5121480,18559,82191.9609375,1768877,0,113437.4765625,0.0,32654,0,20210625_155321.bin
5122079,19158,82198.828125,1769078,0,113473.6484375,0.0,32688,0,20210625_160321.bin
5122678,19757,82200.359375,1769110,0,113479.875,0.0,32694,0,20210625_161321.bin
5123277,20356,82216.671875,1769381,0,113523.578125,0.0,32754,0,20210625_162321.bin
5123876,20955,82234.9921875,1769574,0,113560.8203125,0.0,32784,0,20210625_163321.bin
5124475,21554,82251.1015625,1769766,0,113597.9453125,0.0,32814,0,20210625_164321.bin
5125074,22153,82268.9140625,1769958,0,113635.140625,0.0,32844,0,20210625_165321.bin
5125673,22752,82287.609375,1770151,0,113672.1953125,0.0,32874,0,20210625_170319.bin
5126271,23350,82287.609375,1770151,0,113672.1953125,0.0,32874,0,20210625_171319.bin
5126870,23949,82299.7421875,1770304,0,113698.8984375,0.0,32911,0,20210625_172319.bin
5127469,24548,82318.5390625,1770555,0,113742.671875,0.0,32970,0,20210625_173319.bin
5128068,25147,82328.9609375,1770686,0,113764.3203125,0.0,32997,0,20210625_174319.bin
5128667,25746,82345.5546875,1770890,0,113800.3046875,0.0,33050,0,20210625_175319.bin
5129266,26345,82372.6953125,1771081,0,113836.9140625,0.0,33225,0,20210625_180319.bin
5129865,26944,82388.453125,1771161,0,113852.0859375,0.0,33304,0,20210625_181319.bin
5130464,27543,82400.515625,1771218,0,113860.7578125,0.0,33359,0,20210625_182319.bin
5131063,28142,82420.90625,1771394,0,113886.2578125,0.0,33524,0,20210625_183319.bin
5131662,28741,82439.0859375,1771459,0,113896.6171875,0.0,33562,0,20210625_184319.bin
5132261,453,82455.328125,1771503,0,113902.8359375,0.0,33607,0,20210625_185319.bin
5140943,9135,82532.0546875,1774654,0,114014.1015625,0.0,34070,0,20210625_211919.bin
5141901,10093,82535.421875,1775194,0,114025.7109375,0.0,34078,0,20210625_213518.bin
5142500,10692,82540.5546875,1775782,0,114039.4140625,0.0,34089,0,20210625_214518.bin
5142679,10871,82541.859375,1775958,0,114043.5,0.0,34092,0,20210625_214809.bin
5143099,11291,82545.171875,1776371,0,114053.1640625,0.0,34099,0,20210625_215518.bin
5143278,11470,82546.4765625,1776547,0,114057.28125,0.0,34102,0,20210625_215809.bin
5143697,11889,82549.78125,1776959,0,114066.875,0.0,34109,0,20210625_220518.bin
5144296,12488,82553.453125,1777455,0,114078.453125,0.0,34117,0,20210625_221518.bin
5144895,13087,82553.453125,1777455,0,114078.453125,0.0,34117,0,20210625_222518.bin
5145494,13686,82553.7421875,1777500,0,114080.109375,0.0,34128,0,20210625_223518.bin
5146093,14285,82555.4765625,1777560,0,114082.390625,0.0,34140,0,20210625_224518.bin
5146692,14884,82557.09375,1777640,0,114085.1953125,0.0,34161,0,20210625_225518.bin
5147291,15483,82559.3984375,1777780,0,114090.265625,0.0,34194,0,20210625_230518.bin
5147890,16082,82561.1328125,1777828,0,114091.9375,0.0,34205,0,20210625_231518.bin
5148489,16681,82564.5625,1777920,0,114095.3046875,0.0,34227,0,20210625_232518.bin
5149087,17279,82568.3515625,1778021,0,114100.328125,0.0,34234,0,20210625_233518.bin
5149686,17878,82573.890625,1778123,0,114105.3203125,0.0,34241,0,20210625_234518.bin
5150285,18477,82575.6875,1778123,0,114105.3203125,0.0,34241,0,20210625_235518.bin
5150884,19076,82585.1328125,1778429,0,114120.3671875,0.0,34262,0,20210626_000518.bin
5151483,19675,82589.984375,1778531,0,114125.375,0.0,34269,0,20210626_001518.bin
5152082,20274,82599.0078125,1778765,0,114136.921875,0.0,34286,0,20210626_002518.bin
5152681,20873,82604.640625,1778934,0,114145.390625,0.0,34297,0,20210626_003518.bin
5153280,21472,82608.9296875,1778973,0,114147.2109375,0.0,34300,0,20210626_004518.bin
5153879,22071,82610.7890625,1779237,0,114160.1484375,0.0,34320,0,20210626_005518.bin
5154477,22669,82612.4921875,1779324,0,114164.40625,0.0,34326,0,20210626_010518.bin
5155076,23268,82616.0703125,1779496,0,114172.96875,0.0,34335,0,20210626_011518.bin
5155675,23867,82618.6171875,1779701,0,114183.421875,0.0,34344,0,20210626_012518.bin
5156274,24466,82623.796875,1779922,0,114194.609375,0.0,34353,0,20210626_013518.bin
5156873,25065,82626.2578125,1780057,0,114201.21875,0.0,34362,0,20210626_014518.bin
5157472,25664,82633.8828125,1780285,0,114212.2421875,0.0,34380,0,20210626_015518.bin
5158071,26263,82639.3046875,1780416,0,114218.578125,0.0,34390,0,20210626_020518.bin
5158669,26861,82642.1171875,1780571,0,114225.40625,0.0,34400,0,20210626_021518.bin
5159268,27460,82643.8203125,1780760,0,114234.65625,0.0,34413,0,20210626_022518.bin
5159867,28059,82646.6640625,1780828,0,114238.0703125,0.0,34417,0,20210626_023518.bin
5160466,28658,82650.9296875,1781381,0,114250.9609375,0.0,34427,0,20210626_024518.bin
5161065,29257,82655.5546875,1781970,0,114264.7421875,0.0,34437,0,20210626_025518.bin
5161664,29856,82660.171875,1782559,0,114278.46875,0.0,34447,0,20210626_030518.bin
5162262,30454,82665.3046875,1783146,0,114292.140625,0.0,34458,0,20210626_031518.bin
5162861,258,82671.796875,1783554,0,114301.640625,0.0,34465,0,20210626_032518.bin
5163460,857,82676.421875,1784143,0,114315.3828125,0.0,34475,0,20210626_033518.bin
5164059,1456,82681.0390625,1784733,0,114329.140625,0.0,34485,0,20210626_034518.bin
5164658,2055,82685.6640625,1785322,0,114342.90625,0.0,34495,0,20210626_035518.bin
5165257,2654,82689.5625,1785795,0,114353.921875,0.0,34504,0,20210626_040518.bin
5165856,3253,82694.1875,1786385,0,114367.6640625,0.0,34514,0,20210626_041518.bin
5166455,3852,82698.8046875,1786974,0,114380.9375,0.0,34524,0,20210626_042518.bin
5167055,4452,82703.4296875,1787564,0,114394.75,0.0,34534,0,20210626_043518.bin
5167654,5051,82707.9921875,1788153,0,114408.4609375,0.0,34544,0,20210626_044518.bin
5168253,5650,82710.4765625,1788504,0,114416.671875,0.0,34550,0,20210626_045518.bin
5168852,6249,82715.09375,1789092,0,114430.4375,0.0,34560,0,20210626_050518.bin
5169451,6848,82720.2421875,1789680,0,114444.15625,0.0,34571,0,20210626_051518.bin
5170050,7447,82724.859375,1790268,0,114457.8984375,0.0,34581,0,20210626_052518.bin
5170649,8046,82728.5546875,1790773,0,114469.734375,0.0,34589,0,20210626_053518.bin
5171248,8645,82731.90625,1791231,0,114480.4296875,0.0,34597,0,20210626_054518.bin
5171847,9244,82735.7265625,1791786,0,114490.921875,0.0,34606,0,20210626_055518.bin
5172446,9843,82740.3515625,1792376,0,114504.6796875,0.0,34616,0,20210626_060518.bin
5173045,10442,82745.4921875,1792963,0,114518.359375,0.0,34627,0,20210626_061518.bin
5173644,11041,82748.875,1793436,0,114529.4609375,0.0,34635,0,20210626_062518.bin
5174243,11640,82753.4921875,1794025,0,114543.1953125,0.0,34645,0,20210626_063518.bin
5174842,12239,82758.1171875,1794615,0,114556.984375,0.0,34655,0,20210626_064518.bin
5175441,12838,82762.734375,1795204,0,114570.7421875,0.0,34665,0,20210626_065518.bin
5176040,13437,82766.5078125,1795716,0,114580.84375,0.0,34674,0,20210626_070518.bin
5176639,14036,82770.0234375,1796163,0,114591.2109375,0.0,34682,0,20210626_071518.bin
5177238,14635,82774.640625,1796753,0,114604.96875,0.0,34692,0,20210626_072518.bin
5177837,15234,82779.265625,1797343,0,114618.6875,0.0,34702,0,20210626_073518.bin
5178436,15833,82782.0546875,1797662,0,114626.203125,0.0,34707,0,20210626_074518.bin
5179035,16432,82782.0546875,1797662,0,114626.203125,0.0,34707,0,20210626_075518.bin
5179634,17031,82785.71875,1798249,0,114638.1171875,0.0,34716,0,20210626_080518.bin
5180232,17629,82787.578125,1798524,0,114643.703125,0.0,34720,0,20210626_081518.bin
5180831,18228,82790.9296875,1799031,0,114653.9921875,0.0,34728,0,20210626_082518.bin
5181430,18827,82794.640625,1799554,0,114665.0078125,0.0,34736,0,20210626_083518.bin
5182029,19426,82798.8671875,1800144,0,114676.9765625,0.0,34745,0,20210626_084518.bin
5190890,28287,82845.4296875,1806240,0,114801.125,0.0,34832,0,20210626_135241.bin
5191489,28886,82849.9140625,1806830,0,114813.3359375,0.0,34840,0,20210626_140241.bin
5192088,254,82857.8125,1807039,0,114817.4453125,0.0,34848,0,20210626_141241.bin
5192686,852,82861.8203125,1807595,0,114828.15625,0.0,34874,0,20210626_142241.bin
5193285,1451,82862.34375,1807679,0,114829.9609375,0.0,34933,0,20210626_143241.bin
5193884,2050,82863.171875,1807821,0,114832.671875,0.0,35105,0,20210626_144241.bin
5194483,2649,82864.5625,1807967,0,114836.7265625,0.0,35269,0,20210626_145241.bin
5195082,3248,82868.390625,1808453,0,114846.109375,0.0,35291,0,20210626_150241.bin
5195680,3846,82872.1484375,1808972,0,114856.0234375,0.0,35315,0,20210626_151241.bin
